epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
81,759.522,0.51351,0.34581,0.81804,0.9729,0.95094,0.95799,0.85745,0.44232,0.3551,0.83463,0.000231088,0.000231088,0.000231088
82,768.686,0.50855,0.34562,0.81717,0.97836,0.94965,0.96292,0.85579,0.44068,0.35206,0.83369,0.000220089,0.000220089,0.000220089
83,777.861,0.50839,0.34103,0.82276,0.97967,0.94736,0.96144,0.8562,0.44353,0.35037,0.83201,0.00020909,0.00020909,0.00020909
84,787.009,0.5025,0.33949,0.82513,0.97876,0.94877,0.96235,0.85472,0.4318,0.34335,0.83825,0.000198091,0.000198091,0.000198091
85,796.164,0.50093,0.33974,0.81483,0.97644,0.95257,0.96434,0.85421,0.44846,0.34382,0.8358,0.000187092,0.000187092,0.000187092
86,805.324,0.50883,0.34573,0.81475,0.97878,0.94565,0.96304,0.86438,0.43996,0.3476,0.83662,0.000176094,0.000176094,0.000176094
87,814.572,0.49683,0.33654,0.82141,0.976,0.9492,0.96198,0.85712,0.43846,0.35004,0.83576,0.000165095,0.000165095,0.000165095
88,823.718,0.48046,0.32409,0.81324,0.97367,0.94943,0.95827,0.85794,0.43699,0.34969,0.83435,0.000154096,0.000154096,0.000154096
89,832.881,0.47971,0.32015,0.80809,0.97542,0.94557,0.96225,0.85986,0.43512,0.35471,0.83713,0.000143097,0.000143097,0.000143097
90,842.038,0.49242,0.3315,0.82118,0.97938,0.94651,0.9658,0.86379,0.41914,0.33642,0.83484,0.000132098,0.000132098,0.000132098
91,852.037,0.44953,0.31071,0.80803,0.97938,0.94441,0.96165,0.85597,0.43632,0.3541,0.83732,0.000121099,0.000121099,0.000121099
92,861.147,0.44477,0.31357,0.81116,0.97821,0.94552,0.96023,0.85221,0.44763,0.36307,0.83995,0.0001101,0.0001101,0.0001101
93,870.262,0.43442,0.29786,0.80035,0.97424,0.94543,0.96461,0.86436,0.43138,0.34995,0.83883,9.91012e-05,9.91012e-05,9.91012e-05
94,879.357,0.44101,0.29472,0.80941,0.97785,0.95148,0.96554,0.86134,0.43061,0.33961,0.83469,8.81023e-05,8.81023e-05,8.81023e-05
95,888.46,0.42088,0.29305,0.79794,0.97713,0.94982,0.96521,0.86051,0.44065,0.35026,0.83867,7.71034e-05,7.71034e-05,7.71034e-05
96,897.554,0.42317,0.28872,0.80193,0.97696,0.94808,0.96519,0.86784,0.42585,0.34769,0.8375,6.61045e-05,6.61045e-05,6.61045e-05
97,906.755,0.41885,0.28323,0.80433,0.97889,0.94892,0.96498,0.86381,0.43303,0.3482,0.83597,5.51056e-05,5.51056e-05,5.51056e-05
98,915.89,0.41389,0.28287,0.80328,0.97944,0.94867,0.96522,0.86098,0.43088,0.34968,0.83696,4.41067e-05,4.41067e-05,4.41067e-05
99,925.013,0.41788,0.28384,0.79925,0.97912,0.94882,0.96603,0.86347,0.43363,0.34715,0.84147,3.31078e-05,3.31078e-05,3.31078e-05
100,934.127,0.4186,0.2847,0.80426,0.97928,0.94752,0.96504,0.86473,0.42713,0.33967,0.83658,2.21089e-05,2.21089e-05,2.21089e-05
