epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,324.064,0.61222,0.43813,0.82817,0.95892,0.96556,0.96832,0.83718,0.52122,0.39733,0.84731,0.000473064,0.000473064,0.000473064
60,329.538,0.61995,0.44464,0.8375,0.96404,0.96105,0.96153,0.83872,0.51723,0.40889,0.84558,0.000462065,0.000462065,0.000462065
61,335.011,0.61198,0.44116,0.83681,0.962,0.9603,0.96507,0.82741,0.54467,0.41132,0.84867,0.000451066,0.000451066,0.000451066
62,340.428,0.60656,0.43208,0.82965,0.95218,0.96447,0.96449,0.82546,0.53697,0.40478,0.84514,0.000440067,0.000440067,0.000440067
63,345.868,0.60638,0.42704,0.83988,0.96187,0.9694,0.96977,0.84988,0.50934,0.39534,0.84835,0.000429068,0.000429068,0.000429068
64,351.305,0.60423,0.42402,0.82974,0.96218,0.96577,0.96974,0.83441,0.52743,0.40054,0.8468,0.000418069,0.000418069,0.000418069
65,356.731,0.59781,0.41669,0.82603,0.96004,0.96706,0.96923,0.82775,0.56078,0.40066,0.84996,0.00040707,0.00040707,0.00040707
66,362.163,0.59329,0.41325,0.82843,0.96366,0.95912,0.96756,0.83794,0.53154,0.39885,0.84661,0.000396071,0.000396071,0.000396071
67,367.604,0.59484,0.41501,0.83019,0.9649,0.95466,0.96575,0.84027,0.50528,0.40616,0.8488,0.000385073,0.000385073,0.000385073
68,373.209,0.61236,0.42594,0.82826,0.97439,0.95582,0.96899,0.84369,0.49279,0.39453,0.84945,0.000374074,0.000374074,0.000374074
69,378.707,0.57406,0.4058,0.83418,0.96762,0.96572,0.96911,0.84035,0.5006,0.38803,0.84921,0.000363075,0.000363075,0.000363075
70,384.162,0.57502,0.40578,0.82544,0.96378,0.96691,0.96743,0.83578,0.51993,0.38981,0.84849,0.000352076,0.000352076,0.000352076
71,389.634,0.5715,0.40486,0.83005,0.97283,0.96658,0.96857,0.83421,0.50239,0.38578,0.84804,0.000341077,0.000341077,0.000341077
72,395.062,0.5688,0.40299,0.82072,0.96723,0.9629,0.96616,0.84737,0.4966,0.38252,0.84405,0.000330078,0.000330078,0.000330078
73,400.495,0.58057,0.41346,0.82451,0.969,0.96859,0.96621,0.84056,0.51292,0.38992,0.84891,0.000319079,0.000319079,0.000319079
